Feature,Importance
sttl,0.21399875114484376
ct_state_ttl,0.17273097260638137
sbytes,0.12626921662508975
byte_ratio,0.0632561081634549
dmeansz,0.05401108168957735
smeansz,0.035521272596940316
load_ratio,0.03142954992528663
dttl,0.030619622276364264
Sload,0.023535331667267567
Dload,0.021139867008589573
state,0.018628934994501304
dbytes,0.018484612773618465
Dpkts,0.017803242509751318
tcprtt,0.016605943711820576
Dintpkt,0.014353633771070356
dsport,0.014195366908545108
packet_ratio,0.013623123167358305
dur,0.012372374990118538
synack,0.009335571412209658
ackdat,0.009258816600216163
ct_dst_src_ltm,0.007516120301534305
ct_srv_dst,0.007365079702022647
ct_src_dport_ltm,0.006613978580654807
ct_dst_sport_ltm,0.006377433350245918
sport,0.006035131956715527
ct_srv_src,0.005966369658533339
Sintpkt,0.005844298650041876
proto,0.005548004580417014
service,0.005095672836536749
Djit,0.003946525140548071
jit_ratio,0.0029532082830165426
pkt_rate,0.002758795989339746
Spkts,0.002401605436627525
Sjit,0.002257528044074449
sloss,0.002051162955309946
ct_src_ltm,0.001858307568634985
ct_dst_ltm,0.0016269617604098903
swin,0.0015830842352673915
dloss,0.0010997485678692202
stcpb,0.0010231931187552055
ct_flw_http_mthd,0.0005711102517958253
dtcpb,0.0005461012457687008
ct_ftp_cmd,0.0004770421966334921
is_sm_ips_ports,0.0004216828700254203
res_bdy_len,0.0003295392148416053
trans_depth,0.00027346248168006116
dwin,0.0002372053834714508
is_ftp_login,4.825109622301973e-05
